Topic_name,Question_name,Striver_link,leetcode_link,other_link,gfg_link
Learn the basics,Counting frequencies of array eleme…,https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/,,https://www.codingninjas.com/studio/problems/count-frequency-in-a-range_8365446?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Find the highest/lowest frequency e…,https://takeuforward.org/arrays/find-the-highest-lowest-frequency-element/,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,https://www.codingninjas.com/studio/problems/k-most-occurrent-numbers_625382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,,https://takeuforward.org/data-structure/quick-sort-algorithm/,,https://www.codingninjas.com/studio/problems/quick-sort_5844?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Selection Sort,https://takeuforward.org/sorting/selection-sort-algorithm/,,https://www.codingninjas.com/studio/problems/selection-sort_624469?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Bubble Sort,https://takeuforward.org/data-structure/bubble-sort-algorithm/,,https://www.codingninjas.com/studio/problems/bubble-sort_624380?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Insertion Sort,https://takeuforward.org/data-structure/insertion-sort-algorithm/,,https://www.codingninjas.com/studio/problems/insertion-sort_624381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Merge Sort,https://takeuforward.org/data-structure/merge-sort-algorithm/,,https://www.codingninjas.com/studio/problems/merge-sort_5846?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Recursive Bubble Sort,https://takeuforward.org/arrays/recursive-bubble-sort-algorithm/,,https://www.codingninjas.com/studio/problems/bubble-sort_624380?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Recursive Insertion Sort,https://takeuforward.org/arrays/recursive-insertion-sort-algorithm/,,https://www.codingninjas.com/studio/problems/insertion-sort_624381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn Important Sorting Techniques,Quick Sort,https://takeuforward.org/data-structure/quick-sort-algorithm/,,https://www.codingninjas.com/studio/problems/quick-sort_5844?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,,https://takeuforward.org/data-structure/maximum-product-subarray-in-an-array/,https://leetcode.com/problems/maximum-product-subarray/,https://www.codingninjas.com/codestudio/problems/subarray-with-maximum-product_6890008?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Largest Element in an Array,https://takeuforward.org/data-structure/find-the-largest-element-in-an-array/,,https://www.codingninjas.com/codestudio/problems/largest-element-in-the-array-largest-element-in-the-array_5026279?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Second Largest Element in an Array …,https://takeuforward.org/data-structure/find-second-smallest-and-second-largest-element-in-an-array/,,https://www.codingninjas.com/codestudio/problems/ninja-and-the-second-order-elements_6581960?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Check if the array is sorted,https://takeuforward.org/data-structure/check-if-an-array-is-sorted/,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.",https://www.codingninjas.com/codestudio/problems/ninja-and-the-sorted-check_6581957?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Remove duplicates from Sorted array,https://takeuforward.org/data-structure/remove-duplicates-in-place-from-sorted-array/,"https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.",https://www.codingninjas.com/codestudio/problems/remove-duplicates-from-sorted-array_1102307?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Left Rotate an array by one place,https://takeuforward.org/data-structure/left-rotate-the-array-by-one/,https://leetcode.com/problems/rotate-array/,https://www.codingninjas.com/codestudio/problems/left-rotate-an-array-by-one_5026278?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Left rotate an array by D places,https://takeuforward.org/data-structure/rotate-array-by-k-elements/,https://leetcode.com/problems/rotate-array/,https://www.codingninjas.com/codestudio/problems/rotate-array_1230543?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Move Zeros to end,https://takeuforward.org/data-structure/move-all-zeros-to-the-end-of-the-array/,https://leetcode.com/problems/move-zeroes/,https://www.codingninjas.com/codestudio/problems/ninja-and-the-zero-s_6581958?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Linear Search,https://takeuforward.org/data-structure/linear-search-in-c/,,https://www.codingninjas.com/codestudio/problems/linear-search_6922070?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Find the Union,https://takeuforward.org/data-structure/union-of-two-sorted-arrays/,,https://www.codingninjas.com/codestudio/problems/sorted-array_6613259?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Find missing number in an array,https://takeuforward.org/arrays/find-the-missing-number-in-an-array/,https://leetcode.com/problems/missing-number/,,
Solve Problems on Arrays,Maximum Consecutive Ones,https://takeuforward.org/data-structure/count-maximum-consecutive-ones-in-the-array/,https://leetcode.com/problems/max-consecutive-ones/,https://www.codingninjas.com/codestudio/problems/traffic_6682625?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,"Find the number that appears once, …",https://takeuforward.org/arrays/find-the-number-that-appears-once-and-the-other-numbers-twice/,https://leetcode.com/problems/single-number/,https://www.codingninjas.com/codestudio/problems/find-the-single-element_6680465?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Longest subarray with given sum K(p…,https://takeuforward.org/data-structure/longest-subarray-with-given-sum-k/,,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-sum-k_6682399?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Longest subarray with sum K (Positi…,https://takeuforward.org/arrays/longest-subarray-with-sum-k-postives-and-negatives/,,https://www.codingninjas.com/studio/problems/longest-subarray-with-sum-k_5713505?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,2Sum Problem,https://takeuforward.org/data-structure/two-sum-check-if-a-pair-with-given-sum-exists-in-array/,https://leetcode.com/problems/two-sum/,https://www.codingninjas.com/codestudio/problems/reading_6845742?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Sort an array of 0's 1's and 2's,https://takeuforward.org/data-structure/sort-an-array-of-0s-1s-and-2s/,https://leetcode.com/problems/sort-colors/,https://www.codingninjas.com/codestudio/problems/sort-an-array-of-0s-1s-and-2s_892977?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Majority Element (>n/2 times),https://takeuforward.org/data-structure/find-the-majority-element-that-occurs-more-than-n-2-times/,https://leetcode.com/problems/majority-element/,https://www.codingninjas.com/codestudio/problems/majority-element_6783241?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,"Kadane's Algorithm, maximum subarra…",https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,https://leetcode.com/problems/maximum-subarray/,https://www.codingninjas.com/codestudio/problems/maximum-subarray-sum_630526?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Print subarray with maximum subarra…,https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-sum-k_6682399?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Stock Buy and Sell,https://takeuforward.org/data-structure/stock-buy-and-sell/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://www.codingninjas.com/codestudio/problems/best-time-to-buy-and-sell-stock_6194560?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Rearrange the array in alternating …,https://takeuforward.org/arrays/rearrange-array-elements-by-sign/,https://leetcode.com/problems/rearrange-array-elements-by-sign/,https://www.codingninjas.com/codestudio/problems/alternate-numbers_6783445?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Next Permutation,https://takeuforward.org/data-structure/next_permutation-find-next-lexicographically-greater-permutation/,https://leetcode.com/problems/next-permutation/,https://www.codingninjas.com/codestudio/problems/next-greater-permutation_6929564?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Leaders in an Array problem,https://takeuforward.org/data-structure/leaders-in-an-array/,,https://www.codingninjas.com/codestudio/problems/superior-elements_6783446?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Longest Consecutive Sequence in an …,https://takeuforward.org/data-structure/longest-consecutive-sequence-in-an-array/,https://leetcode.com/problems/longest-consecutive-sequence/solution/,https://www.codingninjas.com/codestudio/problems/longest-successive-elements_6811740?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Set Matrix Zeros,https://takeuforward.org/data-structure/set-matrix-zero/,https://leetcode.com/problems/set-matrix-zeroes/,https://www.codingninjas.com/codestudio/problems/zero-matrix_1171153?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Rotate Matrix by 90 degrees,https://takeuforward.org/data-structure/rotate-image-by-90-degree/,https://leetcode.com/problems/rotate-image/,https://www.codingninjas.com/codestudio/problems/rotate-the-matrix_6825090?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Print the matrix in spiral manner,https://takeuforward.org/data-structure/spiral-traversal-of-matrix/,https://leetcode.com/problems/spiral-matrix/,https://www.codingninjas.com/codestudio/problems/spiral-matrix_6922069?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Count subarrays with given sum,https://takeuforward.org/arrays/count-subarray-sum-equals-k/,https://leetcode.com/problems/subarray-sum-equals-k/,https://www.codingninjas.com/studio/problems/subarray-sums-i_1467103?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Pascal's Triangle,https://takeuforward.org/data-structure/program-to-generate-pascals-triangle/,https://leetcode.com/problems/pascals-triangle/,https://www.codingninjas.com/codestudio/problems/print-pascal-s-triangle_6917910?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Majority Element (n/3 times),https://takeuforward.org/data-structure/majority-elementsn-3-times-find-the-elements-that-appears-more-than-n-3-times-in-the-array/,https://leetcode.com/problems/majority-element-ii/,https://www.codingninjas.com/codestudio/problems/majority-element_6915220?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,3-Sum Problem,https://takeuforward.org/data-structure/3-sum-find-triplets-that-add-up-to-a-zero/,https://leetcode.com/problems/3sum/,https://www.codingninjas.com/codestudio/problems/three-sum_6922132?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,4-Sum Problem,https://takeuforward.org/data-structure/4-sum-find-quads-that-add-up-to-a-target-value/,https://leetcode.com/problems/4sum/,https://www.codingninjas.com/codestudio/problems/4sum_5713771?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Largest Subarray with 0 Sum,https://takeuforward.org/data-structure/length-of-the-longest-subarray-with-zero-sum/,,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-zero-sum_6783450?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Count number of subarrays with give…,https://takeuforward.org/data-structure/count-the-number-of-subarrays-with-given-xor-k/,https://www.interviewbit.com/problems/subarray-with-given-xor/,https://www.codingninjas.com/codestudio/problems/subarrays-with-xor-k_6826258?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Merge Overlapping Subintervals,https://takeuforward.org/data-structure/merge-overlapping-sub-intervals/,https://leetcode.com/problems/merge-intervals/,https://www.codingninjas.com/codestudio/problems/merge-all-overlapping-intervals_6783452?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Merge two sorted arrays without ext…,https://takeuforward.org/data-structure/merge-two-sorted-arrays-without-extra-space/,https://leetcode.com/problems/merge-sorted-array/,https://www.codingninjas.com/codestudio/problems/merge-two-sorted-arrays-without-extra-space_6898839?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Find the repeating and missing numb…,https://takeuforward.org/data-structure/find-the-repeating-and-missing-numbers/,,https://www.codingninjas.com/codestudio/problems/missing-and-repeating-numbers_6828164?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Count Inversions,https://takeuforward.org/data-structure/count-inversions-in-an-array/,,https://www.codingninjas.com/codestudio/problems/number-of-inversions_6840276?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Reverse Pairs,https://takeuforward.org/data-structure/count-reverse-pairs/,https://leetcode.com/problems/reverse-pairs/,https://www.codingninjas.com/codestudio/problems/team-contest_6840309?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Solve Problems on Arrays,Maximum Product Subarray,https://takeuforward.org/data-structure/maximum-product-subarray-in-an-array/,https://leetcode.com/problems/maximum-product-subarray/,https://www.codingninjas.com/codestudio/problems/subarray-with-maximum-product_6890008?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,,https://takeuforward.org/data-structure/median-of-row-wise-sorted-matrix/,https://www.interviewbit.com/problems/matrix-median/,https://www.codingninjas.com/codestudio/problems/median-of-a-row-wise-sorted-matrix_1115473?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Binary Search to find X in sorted a…,https://takeuforward.org/data-structure/binary-search-explained/,https://leetcode.com/problems/binary-search/,https://www.codingninjas.com/codestudio/problems/binary-search_972?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Implement Lower Bound,https://takeuforward.org/arrays/implement-lower-bound-bs-2/,,https://www.codingninjas.com/codestudio/problems/lower-bound_8165382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Implement Upper Bound,https://takeuforward.org/arrays/implement-upper-bound/,,https://www.codingninjas.com/studio/problems/implement-upper-bound_8165383?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Search Insert Position,https://takeuforward.org/arrays/search-insert-position/,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.",https://www.codingninjas.com/codestudio/problems/algorithm-to-find-best-insert-position-in-sorted-array_839813?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Floor/Ceil in Sorted Array,https://takeuforward.org/arrays/floor-and-ceil-in-sorted-array/,,https://www.codingninjas.com/studio/problems/ceiling-in-a-sorted-array_1825401?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find the first or last occurrence o…,https://takeuforward.org/data-structure/last-occurrence-in-a-sorted-array/,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,https://www.codingninjas.com/codestudio/problems/first-and-last-position-of-an-element-in-sorted-array_1082549?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Count occurrences of a number in a …,https://takeuforward.org/data-structure/count-occurrences-in-sorted-array/,,https://www.codingninjas.com/codestudio/problems/occurrence-of-x-in-a-sorted-array_630456?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Search in Rotated Sorted Array I,https://takeuforward.org/data-structure/search-element-in-a-rotated-sorted-array/,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://www.codingninjas.com/codestudio/problems/search-in-rotated-sorted-array_1082554?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Search in Rotated Sorted Array II,https://takeuforward.org/arrays/search-element-in-rotated-sorted-array-ii/,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,https://www.codingninjas.com/codestudio/problems/search-in-a-rotated-sorted-array-ii_7449547?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find minimum in Rotated Sorted Arra…,https://takeuforward.org/data-structure/minimum-in-rotated-sorted-array/,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://www.codingninjas.com/codestudio/problems/rotated-array_1093219?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find out how many times has an arra…,https://takeuforward.org/arrays/find-out-how-many-times-the-array-has-been-rotated/,,https://www.codingninjas.com/codestudio/problems/rotation_7449070?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Single element in a Sorted Array,https://takeuforward.org/data-structure/search-single-element-in-a-sorted-array/,https://leetcode.com/problems/single-element-in-a-sorted-array/,https://www.codingninjas.com/codestudio/problems/unique-element-in-sorted-array_1112654?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find peak element,https://takeuforward.org/data-structure/peak-element-in-array/,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.",https://www.codingninjas.com/codestudio/problems/find-peak-element_1081482?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find square root of a number in log…,https://takeuforward.org/binary-search/finding-sqrt-of-a-number-using-binary-search/,,https://www.codingninjas.com/codestudio/problems/square-root-integral_893351?leftPanelTab=0?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find the Nth root of a number using…,https://takeuforward.org/data-structure/nth-root-of-a-number-using-binary-search/,,https://www.codingninjas.com/codestudio/problems/nth-root-of-m_1062679?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Koko Eating Bananas,https://takeuforward.org/binary-search/koko-eating-bananas/,https://leetcode.com/problems/koko-eating-bananas/,https://www.codingninjas.com/codestudio/problems/minimum-rate-to-eat-bananas_7449064?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Minimum days to make M bouquets,https://takeuforward.org/arrays/minimum-days-to-make-m-bouquets/,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,https://www.codingninjas.com/codestudio/problems/rose-garden_2248080?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Find the smallest Divisor,https://takeuforward.org/arrays/find-the-smallest-divisor-given-a-threshold/,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,https://www.codingninjas.com/codestudio/problems/smallest-divisor-with-the-given-limit_1755882?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Capacity to Ship Packages within D …,https://takeuforward.org/arrays/capacity-to-ship-packages-within-d-days/,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,https://www.codingninjas.com/codestudio/problems/capacity-to-ship-packages-within-d-days_1229379?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Kth Missing Positive Number,https://takeuforward.org/arrays/kth-missing-positive-number/,"https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.",https://www.codingninjas.com/codestudio/problems/kth-missing-element_893215?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Aggressive Cows,https://takeuforward.org/data-structure/aggressive-cows-detailed-solution/,https://www.spoj.com/problems/AGGRCOW/,https://www.codingninjas.com/codestudio/problems/aggressive-cows_1082559?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Book Allocation Problem,https://takeuforward.org/data-structure/allocate-minimum-number-of-pages/,https://bit.ly/3MZQOct,https://www.codingninjas.com/codestudio/problems/allocate-books_1090540?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Split array - Largest Sum,https://takeuforward.org/arrays/split-array-largest-sum/,https://leetcode.com/problems/split-array-largest-sum/,https://www.codingninjas.com/codestudio/problems/largest-subarray-sum-minimized_7461751?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Painter's partition,https://takeuforward.org/arrays/painters-partition-problem/,,https://www.codingninjas.com/studio/problems/painter-s-partition-problem_1089557?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Minimize Max Distance to Gas Statio…,https://takeuforward.org/arrays/minimise-maximum-distance-between-gas-stations/,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,https://www.codingninjas.com/codestudio/problems/minimise-max-distance_7541449?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Median of 2 sorted arrays,https://takeuforward.org/data-structure/median-of-two-sorted-arrays-of-different-sizes/,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://www.codingninjas.com/codestudio/problems/median-of-two-sorted-arrays_985294?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search,Kth element of 2 sorted arrays,https://takeuforward.org/data-structure/k-th-element-of-two-sorted-arrays/,,https://www.codingninjas.com/codestudio/problems/k-th-element-of-2-sorted-array_1164159?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
